Recipe,Ingredients,Instructions,Calories,Category
"Ensalada mediterránea","lechuga, tomate, pepino, aceitunas, queso feta, aceite de oliva","1. Lavar y cortar las verduras 2. Mezclar ingredientes 3. Añadir aceite",250,Saludable
"Pollo al horno con verduras","pollo, patatas, zanahorias, romero, aceite de oliva","1. Precalentar horno 2. Preparar verduras 3. Hornear 45min",450,Principal
"Batido de frutas","plátano, fresas, yogur, miel","1. Pelar fruta 2. Licuar todo junto",200,Bebida
"Quinoa con vegetales","quinoa, pimiento rojo, calabacín, cebolla, aceite de oliva, limón","1. Cocinar la quinoa 2. Saltear los vegetales 3. Mezclar todo 4. Añadir limón",320,Principal
"Sopa de lentejas","lentejas, zanahoria, cebolla, ajo, tomate, comino","1. Sofreír verduras 2. Añadir lentejas y agua 3. Cocinar 30min 4. Sazonar",280,Principal
"Bowl de avena","avena, plátano, arándanos, almendras, miel, canela","1. Cocinar avena con agua 2. Añadir frutas y frutos secos 3. Endulzar al gusto",350,Desayuno
"Wrap de pavo","tortilla integral, pavo, lechuga, tomate, aguacate","1. Calentar tortilla 2. Añadir ingredientes 3. Enrollar",380,Almuerzo
"Pescado al vapor","salmón, limón, eneldo, espárragos","1. Preparar vaporera 2. Condimentar pescado 3. Cocinar 12min",300,Principal
"Ensalada de garbanzos","garbanzos, pepino, tomate, cebolla roja, perejil, limón","1. Escurrir garbanzos 2. Picar verduras 3. Mezclar 4. Aliñar",310,Almuerzo
"Batido verde","espinacas, manzana, jengibre, pepino, limón","1. Lavar ingredientes 2. Licuar todo 3. Servir frío",120,Bebida
"Pollo a la plancha","pechuga de pollo, ajo, limón, romero","1. Marinar pollo 2. Calentar plancha 3. Cocinar 6min por lado",280,Principal
"Buddha bowl","arroz integral, garbanzos, espinacas, zanahoria, aguacate, semillas","1. Cocinar arroz 2. Preparar vegetales 3. Montar bowl 4. Decorar",420,Principal
"Granola casera","avena, nueces, almendras, miel, canela, pasas","1. Mezclar ingredientes 2. Hornear 20min 3. Enfriar",280,Desayuno
"Ensalada de atún","atún, lechuga, tomate, cebolla, maíz, aceite de oliva","1. Escurrir atún 2. Mezclar con verduras 3. Aliñar",290,Almuerzo
"Crema de calabaza","calabaza, cebolla, ajo, jengibre, caldo vegetal","1. Cocer verduras 2. Triturar 3. Calentar y servir",180,Principal
"Tortilla de espinacas","huevos, espinacas, cebolla, ajo, aceite de oliva","1. Saltear espinacas 2. Batir huevos 3. Cocinar tortilla",250,Principal
"Yogur con frutas","yogur natural, frutas del bosque, granola, miel","1. Colocar yogur 2. Añadir frutas 3. Decorar con granola",220,Desayuno
"Arroz integral con verduras","arroz integral, brócoli, zanahoria, guisantes, cúrcuma","1. Cocer arroz 2. Saltear verduras 3. Mezclar todo",380,Principal
"Hummus casero","garbanzos, tahini, limón, ajo, aceite de oliva, comino","1. Triturar garbanzos 2. Añadir ingredientes 3. Mezclar hasta cremoso",150,Aperitivo
"Tofu salteado","tofu, pimiento, cebolla, salsa de soja, jengibre","1. Cortar tofu 2. Saltear verduras 3. Añadir salsa",220,Principal
